student_id,first_name,last_name,date_of_birth,email
1,Christopher,Estrada,2005-09-20,jason10@yahoo.com
2,Michael,Hill,2005-06-02,cturner@patrick-guzman.com
3,Tina,Hutchinson,2008-08-10,connercharles@hotmail.com
4,Jasmine,Cook,2008-11-22,alvaradobrandi@yahoo.com
5,Michael,Smith,2009-03-27,john59@liu-reed.com
6,Jessica,Gross,2008-10-10,daniel80@hotmail.com
7,Brian,Patel,2008-03-29,kperez@tyler-fernandez.info
8,Christine,Graham,2007-03-26,douglas65@snyder.com
9,Matthew,Rasmussen,2008-10-22,dannyblankenship@gmail.com
10,Randall,Mosley,2007-10-05,david39@gmail.com
11,Michael,Mcdaniel,2007-12-14,caldwellmichelle@hotmail.com
12,Eric,Brown,2006-04-09,jacksoncharles@yahoo.com
13,Emily,Hernandez,2008-01-31,vvasquez@hotmail.com
14,Chad,Sharp,2009-03-12,andrewjones@yahoo.com
15,Taylor,Davis,2008-05-05,davidmercer@moore-olson.com
16,Mario,Harris,2005-10-08,hoodmark@hotmail.com
17,Jennifer,Roman,2006-06-04,xsawyer@smith.com
18,Matthew,Sanchez,2008-07-25,emilyrowe@gmail.com
19,Emily,Kramer,2007-01-30,joanwallace@hotmail.com
20,Cheryl,Foster,2007-11-17,allen10@young.com
21,Adam,Williams,2008-03-17,thaley@montgomery.com
22,Daniel,Richardson,2006-08-17,vross@hotmail.com
23,Mark,Morales,2007-05-15,fhoffman@yahoo.com
24,Tina,Rodriguez,2007-08-11,gsalinas@gmail.com
25,Anna,Tapia,2005-10-31,raymondholt@gmail.com
26,Ryan,Dougherty,2006-10-22,josephharris@hotmail.com
27,Christopher,Wilson,2009-01-09,moorejames@hotmail.com
28,Rebecca,Brown,2007-11-03,chahn@benton.info
29,Noah,Ford,2008-04-02,colleen39@yahoo.com
30,Matthew,Stevenson,2007-06-25,robert98@gmail.com
31,Chloe,Williamson,2006-02-13,sean51@webster.com
32,Melissa,Meyers,2007-04-07,gouldchristopher@chen-burton.com
33,Richard,Hunt,2007-03-07,lfoster@miller.com
34,Michael,Smith,2008-08-15,rstewart@gmail.com
35,John,Webster,2007-06-17,paul92@hopkins-zimmerman.com
36,Pamela,Webb,2006-11-07,april06@yahoo.com
37,Sharon,Green,2006-02-06,candacesullivan@yahoo.com
38,Richard,Clark,2005-12-09,markhernandez@donovan.com
39,Paul,Johnson,2009-01-30,kyle89@hamilton.com
40,Mark,Faulkner,2006-07-02,cramos@yahoo.com
41,Tanner,Romero,2008-09-12,romeroamanda@wilson.info
42,Colin,Garcia,2007-07-13,caseylopez@hampton-reyes.com
