teacher_id,first_name,last_name,department,email
1,Karen,Martin,have,annacontreras@perry.com
2,Veronica,Walls,after,mooredouglas@delgado.biz
3,Victoria,Leonard,place,johnsonjermaine@gmail.com
4,April,Lee,eight,thomasthomas@washington-green.com
5,Ashley,Sparks,success,juan79@gmail.com
6,Benjamin,Eaton,head,molinahannah@yahoo.com
7,Kristopher,Evans,happy,michaelmiller@campbell-bowman.biz
8,Maureen,Ashley,attack,aaronsmith@hotmail.com
9,Kristen,Cummings,southern,monroeallison@hotmail.com
10,Paul,Bates,whether,april98@hotmail.com
